Id,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow,Hotel
1,Vendas Novas,PT,38.6771,-8.4579,2021-04-18 15:28:30,few clouds,73.4,46,12.66,20,0,0,Hotel Acez
4,Cap Malheureux,MU,-19.9842,57.6142,2021-04-18 15:28:32,overcast clouds,77.0,84,3.0,100,0,0,Pereybere Hotel & Spa
6,Puerto Ayora,EC,-0.7393,-90.3518,2021-04-18 15:26:03,broken clouds,78.8,89,9.22,75,0,0,Finch Bay Galapagos Hotel
13,Rikitea,PF,-23.1203,-134.9692,2021-04-18 15:28:35,clear sky,76.8,74,5.97,1,0,0,Pension Maro'i
15,Khani,GE,41.9563,42.9566,2021-04-18 15:28:36,overcast clouds,71.6,53,6.91,90,0,0,კურორტი ზეკარი/Resort Zekari
23,São Filipe,CV,14.8961,-24.4956,2021-04-18 15:28:39,clear sky,72.86,75,12.1,1,0,0,Tortuga B&B
26,San Policarpo,PH,12.1791,125.5072,2021-04-18 15:28:41,heavy intensity rain,76.82,90,30.96,100,0,0,JM Lodge
31,Saint-Pierre,RE,-21.3393,55.4781,2021-04-18 15:28:43,broken clouds,77.0,69,9.22,75,0,0,Lindsey Hôtel
32,Luau,AO,-10.7073,22.2247,2021-04-18 15:28:43,broken clouds,76.32,71,3.4,65,0,0,Casa- Bernardo Cândido
37,Rivadavia,AR,-33.1905,-68.4608,2021-04-18 15:28:45,clear sky,75.2,57,5.75,0,0,0,Posada Del Fin Del Mundo
43,Hermanus,ZA,-34.4187,19.2345,2021-04-18 15:28:24,clear sky,75.99,45,6.29,9,0,0,Misty Waves Boutique Hotel
44,East London,ZA,-33.0153,27.9116,2021-04-18 15:28:05,clear sky,78.8,47,6.91,0,0,0,Tu Casa
46,Kruisfontein,ZA,-34.0033,24.7314,2021-04-18 15:28:48,clear sky,78.01,35,1.01,0,0,0,Oyster Bay House Rental
53,Saint-Philippe,RE,-21.3585,55.7679,2021-04-18 15:28:51,broken clouds,77.0,69,9.22,75,0,0,"Chambres d'hôte ""La Trinité"""
54,Port Alfred,ZA,-33.5906,26.891,2021-04-18 15:28:52,clear sky,79.56,51,9.13,0,0,0,The Halyards Hotel
64,Necochea,AR,-38.5473,-58.7368,2021-04-18 15:24:27,overcast clouds,71.01,78,10.0,91,0,0,dyd -mar Hotel
65,Chui,UY,-33.6971,-53.4616,2021-04-18 15:28:56,few clouds,73.44,61,9.51,21,0,0,Nuevo Hotel Plaza
78,Waingapu,ID,-9.6567,120.2641,2021-04-18 15:29:01,overcast clouds,76.82,83,7.38,100,0,0,Pondok Wisata Elim
79,Tomatlán,MX,19.9333,-105.25,2021-04-18 15:29:01,clear sky,76.68,37,0.25,0,0,0,Norma franco
80,Avarua,CK,-21.2078,-159.775,2021-04-18 15:29:02,light rain,77.0,88,4.61,43,0,0,Paradise Inn
82,Lázaro Cárdenas,MX,17.9583,-102.2,2021-04-18 15:29:03,clear sky,77.52,52,0.34,0,0,0,Hotel Quinta Antigua
85,Cockburn Town,TC,21.4612,-71.1419,2021-04-18 15:29:04,clear sky,78.51,88,17.81,0,0,0,Osprey Beach Hotel
86,Grand Gaube,MU,-20.0064,57.6608,2021-04-18 15:29:05,overcast clouds,77.0,84,5.01,100,0,0,Veranda Paul et Virginie Hotel & Spa
92,Tura,IN,25.5198,90.2201,2021-04-18 15:29:07,broken clouds,70.0,66,5.68,58,0,0,Hotel RIKMAN Continental
97,Tautira,PF,-17.7333,-149.15,2021-04-18 15:29:09,few clouds,77.0,78,2.3,20,0,0,Pension Oaoa
99,Kerema,PG,-7.9631,145.7785,2021-04-18 15:29:10,moderate rain,74.61,93,4.32,100,0,0,Frena Lodge
104,Mar del Plata,AR,-38.0023,-57.5575,2021-04-18 15:28:19,broken clouds,71.6,73,13.8,75,0,0,Gran Hotel Mar del Plata
109,Faya,SA,18.3851,42.4509,2021-04-18 15:29:14,broken clouds,75.2,40,6.91,75,0,0,مقبرة ال مجمل
113,Hualmay,PE,-11.0964,-77.6139,2021-04-18 15:29:16,broken clouds,71.91,75,7.27,57,0,0,Hotel Villa Kitzia Huacho
116,Mahébourg,MU,-20.4081,57.7,2021-04-18 15:29:17,light rain,75.2,94,16.11,75,0,0,Shandrani Beachcomber Resort & Spa
117,Bambanglipuro,ID,-7.95,110.2833,2021-04-18 15:29:18,broken clouds,76.33,88,4.21,51,0,0,Puri Brata
125,Río Tercero,AR,-32.173,-64.1141,2021-04-18 15:29:21,clear sky,73.99,74,1.99,9,0,0,"Hotel Vélez Sarsfield ""Low Cost"""
130,Rawson,AR,-43.3002,-65.1023,2021-04-18 15:29:23,scattered clouds,71.26,40,15.99,45,0,0,Hosteria Sampedro
132,Sambava,MG,-14.2667,50.1667,2021-04-18 15:29:23,light rain,77.29,86,14.18,100,0,0,Melrose
133,Labuhan,ID,-6.8844,112.2051,2021-04-18 15:29:24,overcast clouds,78.76,79,1.39,100,0,0,PT PPI Lamongan Tambak C
136,Quatre Cocos,MU,-20.2078,57.7625,2021-04-18 15:29:25,light rain,77.0,94,16.11,75,0,0,Emeraude Beach Attitude Hotel
140,Mount Isa,AU,-20.7333,139.5,2021-04-18 15:29:27,clear sky,71.6,20,14.97,0,0,0,ibis Styles Mt Isa Verona
150,Port Elizabeth,ZA,-33.918,25.5701,2021-04-18 15:29:31,clear sky,78.8,29,8.05,0,0,0,39 On Nile Guest House
160,Cascavel,BR,-24.9558,-53.4553,2021-04-18 15:27:32,clear sky,75.2,57,5.75,0,0,0,Grand Prix Hotel
161,Mwingi,KE,-0.9344,38.0601,2021-04-18 15:29:35,broken clouds,73.11,70,7.76,67,0,0,Thorn Tree by The Address
164,Reconquista,AR,-29.15,-59.65,2021-04-18 15:29:37,clear sky,78.31,60,8.1,0,0,0,Grand Hotel
174,Itamaracá,BR,-7.7478,-34.8256,2021-04-18 15:29:41,mist,75.2,83,6.91,75,0,0,Special K's Bed & Breakfast
176,Poum,NC,-20.2333,164.0167,2021-04-18 15:29:42,scattered clouds,77.32,76,7.52,38,0,0,Gîte kajeon
193,San Martín,AR,-33.081,-68.4681,2021-04-18 15:29:48,clear sky,75.2,57,5.75,0,0,0,Club El Pelícano
196,Bungu,TZ,-7.6337,39.0582,2021-04-18 15:29:49,light rain,73.36,92,4.45,93,0,0,Jaja Lodge
201,Kumluca,TR,36.3703,30.2869,2021-04-18 15:29:51,overcast clouds,74.44,45,1.25,85,0,0,TurkuazKöy
208,Gigmoto,PH,13.7796,124.39,2021-04-18 15:29:55,heavy intensity rain,79.09,91,34.38,100,0,0,Cj's Travellers Inn
