Id,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow
0,Garoowe,SO,8.4054,48.4845,2021-04-18 15:28:30,clear sky,89.92,30,16.42,6,0,0
1,Vendas Novas,PT,38.6771,-8.4579,2021-04-18 15:28:30,few clouds,73.4,46,12.66,20,0,0
2,Butaritari,KI,3.0707,172.7902,2021-04-18 15:28:31,overcast clouds,82.38,76,12.97,96,0,0
3,Makakilo City,US,21.3469,-158.0858,2021-04-18 15:28:31,clear sky,69.8,77,4.61,1,0,0
4,Cap Malheureux,MU,-19.9842,57.6142,2021-04-18 15:28:32,overcast clouds,77.0,84,3.0,100,0,0
5,Katsuura,JP,35.1333,140.3,2021-04-18 15:28:32,few clouds,55.4,58,6.91,20,0,0
6,Puerto Ayora,EC,-0.7393,-90.3518,2021-04-18 15:26:03,broken clouds,78.8,89,9.22,75,0,0
7,Yellowknife,CA,62.456,-114.3525,2021-04-18 15:28:33,few clouds,30.2,80,4.61,20,0,0
8,Khatanga,RU,71.9667,102.5,2021-04-18 15:28:33,overcast clouds,1.85,95,8.68,100,0,0
9,Jamestown,US,42.097,-79.2353,2021-04-18 15:24:17,scattered clouds,54.0,57,9.22,40,0,0
10,Beringovskiy,RU,63.05,179.3167,2021-04-18 15:28:34,overcast clouds,27.79,98,6.24,100,0,0
11,Juba,SS,4.8517,31.5825,2021-04-18 15:28:34,overcast clouds,90.72,37,3.47,100,0,0
12,Kavieng,PG,-2.5744,150.7967,2021-04-18 15:28:34,light rain,81.99,76,9.42,90,0,0
13,Rikitea,PF,-23.1203,-134.9692,2021-04-18 15:28:35,clear sky,76.8,74,5.97,1,0,0
14,Ushuaia,AR,-54.8,-68.3,2021-04-18 15:28:36,clear sky,55.4,50,14.97,0,0,0
15,Khani,GE,41.9563,42.9566,2021-04-18 15:28:36,overcast clouds,71.6,53,6.91,90,0,0
16,Lagoa,PT,39.05,-27.9833,2021-04-18 15:28:36,overcast clouds,60.75,86,13.76,88,0,0
17,Novy Urengoy,RU,66.0833,76.6333,2021-04-18 15:28:37,scattered clouds,-6.9,96,10.22,50,0,0
18,Longyearbyen,SJ,78.2186,15.6401,2021-04-18 15:28:37,light snow,30.2,80,19.57,75,0,0
19,Sitka,US,57.0531,-135.33,2021-04-18 15:28:38,clear sky,44.6,76,7.7,1,0,0
20,Hithadhoo,MV,-0.6,73.0833,2021-04-18 15:28:38,clear sky,83.68,59,8.14,8,0,0
