Id,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow
0,Garoowe,SO,8.4054,48.4845,2021-04-17 21:42:41,clear sky,74.7,79,12.19,7,0,0
1,Vendas Novas,PT,38.6771,-8.4579,2021-04-17 21:42:41,clear sky,62.6,59,6.91,0,0,0
2,Butaritari,KI,3.0707,172.7902,2021-04-17 21:42:42,light rain,81.88,76,5.14,100,0,0
3,Makakilo City,US,21.3469,-158.0858,2021-04-17 21:46:42,light rain,80.6,54,8.05,90,0,0
4,Cap Malheureux,MU,-19.9842,57.6142,2021-04-17 21:47:14,light rain,78.01,87,6.76,35,0,0
5,Katsuura,JP,35.1333,140.3,2021-04-17 21:42:43,overcast clouds,61.0,65,11.01,96,0,0
6,Puerto Ayora,EC,-0.7393,-90.3518,2021-04-17 21:47:15,light rain,80.01,94,4.61,90,0,0
7,Yellowknife,CA,62.456,-114.3525,2021-04-17 21:45:09,light snow,37.0,60,6.91,75,0,0
8,Khatanga,RU,71.9667,102.5,2021-04-17 21:47:16,overcast clouds,-0.83,96,11.12,100,0,0
9,Jamestown,US,42.097,-79.2353,2021-04-17 21:38:24,overcast clouds,46.99,70,9.22,90,0,0
10,Beringovskiy,RU,63.05,179.3167,2021-04-17 21:40:36,light snow,32.94,98,13.87,100,0,0
11,Juba,SS,4.8517,31.5825,2021-04-17 21:42:45,overcast clouds,77.65,60,3.02,97,0,0
12,Kavieng,PG,-2.5744,150.7967,2021-04-17 21:42:45,broken clouds,82.58,76,11.74,82,0,0
13,Rikitea,PF,-23.1203,-134.9692,2021-04-17 21:39:39,broken clouds,77.38,68,7.81,82,0,0
14,Ushuaia,AR,-54.8,-68.3,2021-04-17 21:41:33,broken clouds,55.4,50,12.66,75,0,0
15,Khani,GE,41.9563,42.9566,2021-04-17 21:42:46,overcast clouds,55.4,82,10.36,90,0,0
16,Lagoa,PT,39.05,-27.9833,2021-04-17 21:42:47,broken clouds,61.25,91,17.65,51,0,0
17,Novy Urengoy,RU,66.0833,76.6333,2021-04-17 21:39:54,overcast clouds,-11.85,100,8.41,85,0,0
18,Longyearbyen,SJ,78.2186,15.6401,2021-04-17 21:45:13,light snow,28.4,80,24.16,90,0,0
19,Sitka,US,57.0531,-135.33,2021-04-17 21:47:18,clear sky,55.4,54,3.44,1,0,0
20,Hithadhoo,MV,-0.6,73.0833,2021-04-17 21:47:19,few clouds,81.95,62,5.64,21,0,0
21,Aktau,KZ,43.65,51.2,2021-04-17 21:47:19,clear sky,50.0,62,6.71,0,0,0
22,Jalu,LY,29.0331,21.5482,2021-04-17 21:47:20,broken clouds,87.39,10,10.22,72,0,0
23,São Filipe,CV,14.8961,-24.4956,2021-04-17 21:47:20,clear sky,73.18,71,13.71,0,0,0
24,Atuona,PF,-9.8,-139.0333,2021-04-17 21:47:21,scattered clouds,80.47,75,19.01,50,0,0
25,Saint Paul Harbor,US,57.79,-152.4072,2021-04-17 21:47:21,overcast clouds,42.8,75,9.22,90,0,0
26,San Policarpo,PH,12.1791,125.5072,2021-04-17 21:47:21,very heavy rain,77.29,92,27.34,100,0,0
27,Vaini,TO,-21.2,-175.2,2021-04-17 21:47:22,few clouds,77.0,73,10.36,20,0,0
28,Ponta do Sol,PT,32.6667,-17.1,2021-04-17 21:47:22,overcast clouds,57.99,88,5.01,98,0,0
29,Hilo,US,19.7297,-155.09,2021-04-17 21:47:23,few clouds,82.4,51,8.05,20,0,0
30,Joshīmath,IN,30.5667,79.5667,2021-04-17 21:47:23,broken clouds,45.79,79,6.17,74,0,0
31,Saint-Pierre,RE,-21.3393,55.4781,2021-04-17 21:47:24,light rain,71.6,94,6.91,90,0,0
32,Luau,AO,-10.7073,22.2247,2021-04-17 21:47:24,broken clouds,63.21,96,4.16,74,0,0
33,California City,US,35.1258,-117.9859,2021-04-17 21:43:51,broken clouds,75.99,15,11.5,75,0,0
34,Albany,US,42.6001,-73.9662,2021-04-17 21:47:25,overcast clouds,51.01,51,3.0,100,0,0
35,Pacific Grove,US,36.6177,-121.9166,2021-04-17 21:47:25,few clouds,57.99,67,11.5,20,0,0
36,Busselton,AU,-33.65,115.3333,2021-04-17 21:47:26,clear sky,48.99,88,8.12,0,0,0
37,Rivadavia,AR,-33.1905,-68.4608,2021-04-17 21:47:26,few clouds,78.8,44,6.91,20,0,0
38,Taltal,CL,-25.4,-70.4833,2021-04-17 21:47:26,few clouds,66.38,74,5.61,24,0,0
39,Gouyave,GD,12.1646,-61.7296,2021-04-17 21:47:27,scattered clouds,84.2,70,20.71,40,0,0
40,Alta Floresta,BR,-9.8756,-56.0861,2021-04-17 21:47:27,overcast clouds,72.25,94,1.52,100,0,0
41,Dikson,RU,73.5069,80.5464,2021-04-17 21:47:28,scattered clouds,-17.18,100,3.42,39,0,0
42,Punta Arenas,CL,-53.15,-70.9167,2021-04-17 21:47:28,broken clouds,51.8,66,9.22,75,0,0
43,Hermanus,ZA,-34.4187,19.2345,2021-04-17 21:47:29,clear sky,66.99,56,6.4,0,0,0
44,East London,ZA,-33.0153,27.9116,2021-04-17 21:47:29,overcast clouds,64.87,69,11.99,100,0,0
45,Shangrao,CN,28.4532,117.9686,2021-04-17 21:47:30,overcast clouds,58.08,81,5.64,100,0,0
46,Kruisfontein,ZA,-34.0033,24.7314,2021-04-17 21:47:30,few clouds,61.36,37,3.42,24,0,0
47,Ust'-Ishim,RU,57.6935,71.1665,2021-04-17 21:47:30,overcast clouds,34.9,85,4.29,100,0,0
48,Hobart,AU,-42.8794,147.3294,2021-04-17 21:46:59,broken clouds,55.99,62,12.66,75,0,0
49,Thompson,CA,55.7435,-97.8558,2021-04-17 21:47:31,overcast clouds,33.8,60,11.5,90,0,0
