ID,City,Country,Time,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain,Snow
0,Garoowe,SO,2020-11-05 13:21:54,8.41,48.48,86.65,22,0,2.53,clear sky,0.0,0.0
1,Vendas Novas,PT,2020-11-05 13:21:54,38.68,-8.46,63.0,59,20,14.99,few clouds,0.0,0.0
2,Butaritari,KI,2020-11-05 13:21:55,3.07,172.79,81.27,80,98,8.68,light rain,0.17,0.0
3,Makakilo City,US,2020-11-05 13:21:55,21.35,-158.09,77.0,94,90,3.36,overcast clouds,0.0,0.0
4,Cap Malheureux,MU,2020-11-05 13:21:55,-19.98,57.61,75.99,66,21,8.99,few clouds,0.0,0.0
5,Katsuura,JP,2020-11-05 13:23:34,35.13,140.3,57.2,82,75,3.36,broken clouds,0.0,0.0
6,Puerto Ayora,EC,2020-11-05 13:23:34,-0.74,-90.35,70.0,80,99,8.99,overcast clouds,0.0,0.0
7,Yellowknife,CA,2020-11-05 13:21:56,62.46,-114.35,9.0,84,90,13.87,light snow,0.0,0.0
8,Khatanga,RU,2020-11-05 13:23:35,71.97,102.5,-8.57,90,1,5.23,clear sky,0.0,0.0
9,Jamestown,US,2020-11-05 13:21:52,42.1,-79.24,52.0,61,1,10.29,clear sky,0.0,0.0
10,Beringovskiy,RU,2020-11-05 13:23:17,63.05,179.32,38.53,83,80,18.03,broken clouds,0.0,0.0
11,Juba,SS,2020-11-05 13:23:17,4.85,31.58,94.93,34,67,5.44,broken clouds,0.0,0.0
12,Kavieng,PG,2020-11-05 13:21:57,-2.57,150.8,81.9,68,100,6.82,overcast clouds,0.0,0.0
13,Rikitea,PF,2020-11-05 13:23:17,-23.12,-134.97,73.67,67,93,8.57,overcast clouds,0.0,0.0
14,Ushuaia,AR,2020-11-05 13:21:23,-54.8,-68.3,50.0,71,90,21.92,light intensity drizzle,0.0,0.0
15,Khani,GE,2020-11-05 13:21:58,41.96,42.96,71.6,60,90,9.17,overcast clouds,0.0,0.0
16,Lagoa,PT,2020-11-05 13:21:58,39.05,-27.98,61.97,72,100,21.41,light rain,0.12,0.0
17,Novy Urengoy,RU,2020-11-05 13:21:58,66.08,76.63,-3.14,92,0,2.84,clear sky,0.0,0.0
18,Longyearbyen,SJ,2020-11-05 13:21:59,78.22,15.64,35.6,74,75,13.87,shower rain,0.0,0.0
19,Sitka,US,2020-11-05 13:21:59,57.05,-135.33,37.4,69,90,18.34,overcast clouds,0.0,0.0
20,Hithadhoo,MV,2020-11-05 13:21:59,-0.6,73.08,84.85,70,63,6.73,light rain,0.18,0.0
21,Aktau,KZ,2020-11-05 13:22:00,43.65,51.2,68.0,20,0,11.18,clear sky,0.0,0.0
22,Jalu,LY,2020-11-05 13:22:00,29.03,21.55,77.58,36,0,12.88,clear sky,0.0,0.0
23,São Filipe,CV,2020-11-05 13:22:00,14.9,-24.5,77.86,71,90,3.94,overcast clouds,0.0,0.0
24,Atuona,PF,2020-11-05 13:22:00,-9.8,-139.03,78.08,79,20,23.06,light rain,0.13,0.0
25,Saint Paul Harbor,US,2020-11-05 13:22:01,57.79,-152.41,30.2,39,1,5.82,clear sky,0.0,0.0
26,San Policarpo,PH,2020-11-05 13:22:01,12.18,125.51,79.84,83,3,3.91,light rain,0.53,0.0
27,Vaini,TO,2020-11-05 13:22:01,-21.2,-175.2,73.4,83,20,10.29,few clouds,0.0,0.0
28,Ponta do Sol,PT,2020-11-05 13:22:01,32.67,-17.1,64.4,68,40,11.41,light intensity shower rain,0.0,0.0
29,Hilo,US,2020-11-05 13:20:56,19.73,-155.09,71.6,78,40,4.7,scattered clouds,0.0,0.0
30,Joshīmath,IN,2020-11-05 13:19:08,30.57,79.57,47.34,49,12,3.65,few clouds,0.0,0.0
31,Saint-Pierre,RE,2020-11-05 13:20:57,-21.34,55.48,78.01,61,20,18.34,few clouds,0.0,0.0
