ID,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow,Hotel
2,Butaritari,KI,3.0707,172.7902,2021-01-09 20:45:49,light rain,81.7,80,21.07,62,0.22,0.0,Isles Sunset Lodge
26,San Policarpo,PH,12.1791,125.5072,2021-01-09 20:45:54,heavy intensity rain,80.11,85,19.33,100,5.0126,0.0,JM Lodge
39,Gouyave,GD,12.1646,-61.7296,2021-01-09 20:45:57,light rain,84.2,74,23.02,20,0.23,0.0,Rumboat Retreat
46,Kruisfontein,ZA,-34.0033,24.7314,2021-01-09 20:45:59,light rain,70.0,81,5.01,65,0.13,0.0,Oyster Bay House Rental
51,Ipixuna,BR,-1.7625,-48.8043,2021-01-09 20:46:00,light rain,86.0,74,9.22,40,0.83,0.0,Casa da Oscarina
78,Waingapu,ID,-9.6567,120.2641,2021-01-09 20:46:06,very heavy rain,79.79,78,2.08,99,24.412,0.0,Pondok Wisata Elim
117,Bambanglipuro,ID,-7.95,110.2833,2021-01-09 20:46:15,moderate rain,77.11,84,3.11,77,3.5484,0.0,Puri Brata
132,Sambava,MG,-14.2667,50.1667,2021-01-09 20:42:15,light rain,76.5,80,4.99,3,0.16,0.0,Melrose
176,Poum,NC,-20.2333,164.0167,2021-01-09 20:46:28,moderate rain,82.45,80,9.75,100,1.29,0.0,Gîte kajeon
196,Bungu,TZ,-7.6337,39.0582,2021-01-09 20:46:32,light rain,75.04,92,6.15,100,0.28,0.0,Jaja Lodge
215,Shakawe,BW,-18.3667,21.85,2021-01-09 20:46:36,light rain,74.25,77,4.09,96,0.2,0.0,Ditlhapi Guest House
227,Kahului,US,20.8947,-156.47,2021-01-09 20:46:39,light rain,78.8,65,6.91,40,0.17,0.0,Maui Seaside Hotel
229,Vao,NC,-22.6667,167.4833,2021-01-09 20:46:34,heavy intensity rain,78.33,89,15.41,100,5.845,0.0,Hotel Kou-Bugny
240,Muisne,EC,0.6,-80.0333,2021-01-09 20:46:41,light rain,79.25,78,8.9,23,0.64,0.0,Quinta Samay
266,Mahibadhoo,MV,3.7833,72.9667,2021-01-09 20:46:48,light rain,81.25,77,8.57,100,0.11,0.0,Omadhoo Inn
278,Salta,AR,-24.7859,-65.4117,2021-01-09 20:42:30,moderate rain,80.6,54,9.22,40,1.24,0.0,Hotel Alejandro I
299,Mâncio Lima,BR,-7.6142,-72.8958,2021-01-09 20:46:56,moderate rain,89.6,66,2.3,40,1.24,0.0,Hotel e Distribuidora Voyage
307,Mackay,AU,-21.15,149.2,2021-01-09 20:44:31,light rain,73.0,94,17.27,90,0.13,0.0,International Lodge Motel
328,Kalangala,UG,-0.3089,32.225,2021-01-09 20:47:02,light rain,74.1,74,15.97,97,0.17,0.0,Ssese Habitat Resort
339,Ambilobe,MG,-13.2,49.05,2021-01-09 20:47:05,moderate rain,74.35,93,0.94,20,1.33,0.0,Hôtel & Restaurant DIANA Ambilobe
370,Vanimo,PG,-2.6741,141.3028,2021-01-09 20:47:11,moderate rain,77.52,85,3.31,100,1.01,0.0,Vahmoneh Lodge Vanimo
379,Kroya,ID,-7.6331,109.2461,2021-01-09 20:47:14,moderate rain,77.86,85,3.36,94,1.5118,0.0,RUSTANTO Fam
380,Matara,LK,5.9485,80.5353,2021-01-09 20:46:43,heavy intensity rain,73.62,92,6.29,100,6.7388,0.0,Amaloh Boutique Resort
