ID,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow
0,Garoowe,SO,8.4054,48.4845,2021-01-09 20:45:48,clear sky,66.99,64,16.51,0,0.0,0.0
1,Vendas Novas,PT,38.6771,-8.4579,2021-01-09 20:45:49,few clouds,43.0,65,11.5,20,0.0,0.0
2,Butaritari,KI,3.0707,172.7902,2021-01-09 20:45:49,light rain,81.7,80,21.07,62,0.22,0.0
3,Makakilo City,US,21.3469,-158.0858,2021-01-09 20:41:06,clear sky,80.6,54,1.3,1,0.0,0.0
4,Cap Malheureux,MU,-19.9842,57.6142,2021-01-09 20:45:49,clear sky,78.01,84,4.0,1,0.0,0.0
5,Katsuura,JP,35.1333,140.3,2021-01-09 20:45:49,clear sky,30.2,59,4.61,0,0.0,0.0
6,Puerto Ayora,EC,-0.7393,-90.3518,2021-01-09 20:45:49,clear sky,84.2,58,12.66,0,0.0,0.0
7,Yellowknife,CA,62.456,-114.3525,2021-01-09 20:44:02,broken clouds,12.2,85,6.91,75,0.0,0.0
8,Khatanga,RU,71.9667,102.5,2021-01-09 20:45:50,overcast clouds,-30.8,85,2.1,89,0.0,0.0
9,Jamestown,US,42.097,-79.2353,2021-01-09 20:44:33,clear sky,34.0,60,9.22,1,0.0,0.0
10,Beringovskiy,RU,63.05,179.3167,2021-01-09 20:45:50,overcast clouds,-15.61,88,11.5,100,0.0,0.0
11,Juba,SS,4.8517,31.5825,2021-01-09 20:45:51,overcast clouds,81.01,30,3.91,95,0.0,0.0
12,Kavieng,PG,-2.5744,150.7967,2021-01-09 20:45:51,overcast clouds,82.29,76,9.73,99,0.0,0.0
13,Rikitea,PF,-23.1203,-134.9692,2021-01-09 20:45:51,overcast clouds,78.35,75,13.65,100,0.0,0.0
14,Ushuaia,AR,-54.8,-68.3,2021-01-09 20:42:42,light rain,53.6,54,13.8,40,0.39,0.0
15,Khani,GE,41.9563,42.9566,2021-01-09 20:45:52,clear sky,41.0,56,3.44,0,0.0,0.0
16,Lagoa,PT,39.05,-27.9833,2021-01-09 20:45:52,overcast clouds,56.43,59,6.26,99,0.0,0.0
17,Novy Urengoy,RU,66.0833,76.6333,2021-01-09 20:45:52,overcast clouds,-9.08,90,10.25,98,0.0,0.0
18,Longyearbyen,SJ,78.2186,15.6401,2021-01-09 20:45:52,scattered clouds,24.8,80,8.05,40,0.0,0.0
19,Sitka,US,57.0531,-135.33,2021-01-09 20:45:53,moderate rain,44.6,57,17.27,90,1.16,0.0
20,Hithadhoo,MV,-0.6,73.0833,2021-01-09 20:45:53,overcast clouds,80.67,76,10.4,100,0.0,0.0
21,Aktau,KZ,43.65,51.2,2021-01-09 20:45:53,overcast clouds,35.6,60,15.66,90,0.0,0.0
22,Jalu,LY,29.0331,21.5482,2021-01-09 20:45:53,clear sky,65.93,35,7.7,0,0.0,0.0
23,São Filipe,CV,14.8961,-24.4956,2021-01-09 20:45:54,clear sky,73.06,73,17.69,9,0.0,0.0
24,Atuona,PF,-9.8,-139.0333,2021-01-09 20:45:54,overcast clouds,78.26,74,18.66,87,0.0,0.0
25,Saint Paul Harbor,US,57.79,-152.4072,2021-01-09 20:45:54,mist,35.6,80,14.97,90,0.0,0.56
26,San Policarpo,PH,12.1791,125.5072,2021-01-09 20:45:54,heavy intensity rain,80.11,85,19.33,100,5.0126,0.0
27,Vaini,TO,-21.2,-175.2,2021-01-09 20:45:54,broken clouds,80.6,89,6.91,75,0.0,0.0
28,Ponta do Sol,PT,32.6667,-17.1,2021-01-09 20:45:55,scattered clouds,51.01,74,1.99,50,0.0,0.0
29,Hilo,US,19.7297,-155.09,2021-01-09 20:45:55,overcast clouds,78.8,61,6.91,90,0.0,0.0
30,Joshīmath,IN,30.5667,79.5667,2021-01-09 20:45:55,clear sky,42.8,30,5.97,8,0.0,0.0
31,Saint-Pierre,RE,-21.3393,55.4781,2021-01-09 20:45:55,clear sky,75.2,83,4.61,0,0.0,0.0
32,Luau,AO,-10.7073,22.2247,2021-01-09 20:45:56,overcast clouds,64.74,97,4.63,99,0.0,0.0
33,California City,US,35.1258,-117.9859,2021-01-09 20:41:16,clear sky,59.0,17,13.8,1,0.0,0.0
34,Albany,US,42.6001,-73.9662,2021-01-09 20:45:56,overcast clouds,33.01,50,8.1,100,0.0,0.0
35,Pacific Grove,US,36.6177,-121.9166,2021-01-09 20:44:07,clear sky,60.01,62,8.05,1,0.0,0.0
36,Busselton,AU,-33.65,115.3333,2021-01-09 20:45:57,overcast clouds,66.99,82,4.0,91,0.0,0.0
37,Rivadavia,AR,-33.1905,-68.4608,2021-01-09 20:45:57,clear sky,89.6,18,8.05,0,0.0,0.0
38,Taltal,CL,-25.4,-70.4833,2021-01-09 20:45:57,few clouds,70.38,62,8.08,22,0.0,0.0
39,Gouyave,GD,12.1646,-61.7296,2021-01-09 20:45:57,light rain,84.2,74,23.02,20,0.23,0.0
40,Alta Floresta,BR,-9.8756,-56.0861,2021-01-09 20:45:57,few clouds,85.37,73,2.98,18,0.0,0.0
41,Dikson,RU,73.5069,80.5464,2021-01-09 20:45:58,overcast clouds,-6.65,85,7.65,100,0.0,0.0
42,Punta Arenas,CL,-53.15,-70.9167,2021-01-09 20:45:58,light rain,53.6,54,14.97,75,0.43,0.0
43,Hermanus,ZA,-34.4187,19.2345,2021-01-09 20:43:02,light rain,66.99,82,6.26,87,0.21,0.0
44,East London,ZA,-33.0153,27.9116,2021-01-09 20:45:58,few clouds,76.1,75,19.51,12,0.0,0.0
45,Shangrao,CN,28.4532,117.9686,2021-01-09 20:45:59,clear sky,29.57,81,2.28,0,0.0,0.0
46,Kruisfontein,ZA,-34.0033,24.7314,2021-01-09 20:45:59,light rain,70.0,81,5.01,65,0.13,0.0
47,Ust'-Ishim,RU,57.6935,71.1665,2021-01-09 20:45:59,light snow,1.74,94,2.84,100,0.0,0.16
48,Hobart,AU,-42.8794,147.3294,2021-01-09 20:45:36,broken clouds,60.01,88,5.75,75,0.0,0.0
49,Thompson,CA,55.7435,-97.8558,2021-01-09 20:45:59,scattered clouds,6.8,85,3.44,40,0.0,0.0
50,Bluff,NZ,-46.6,168.3333,2021-01-09 20:46:00,overcast clouds,55.0,89,5.01,100,0.0,0.0
51,Ipixuna,BR,-1.7625,-48.8043,2021-01-09 20:46:00,light rain,86.0,74,9.22,40,0.83,0.0
52,Hato Mayor,DO,18.7629,-69.256,2021-01-09 20:46:00,scattered clouds,84.2,74,5.75,40,0.0,0.0
53,Saint-Philippe,RE,-21.3585,55.7679,2021-01-09 20:46:00,clear sky,75.2,83,4.61,0,0.0,0.0
54,Port Alfred,ZA,-33.5906,26.891,2021-01-09 20:46:01,scattered clouds,71.01,90,5.99,25,0.0,0.0
